index,Cuartos,Baños,GARAGE,Area,Construido,Año,Dis_Cento,Dis_Escuela,LATITUDE,LONGITUDE,Precio,Direccion,Ult_venta
0,4,2,2.0,600,160,2003.0,18300,0.8283385518162787,-32.1159,115.84245,565000,1 Acorn Place,"09-2018"
1,3,2,2.0,351,139,2013.0,26900,5.524324354371822,-32.19347028,115.8595535,365000,1 Addis Way,"02-2019"
2,3,1,1.0,719,86,1979.0,22600,1.649178183366986,-32.12057813,115.993579,287000,1 Ainsley Court,"06-2015"
3,2,1,2.0,651,59,1953.0,17900,1.5714009366124688,-31.90054675,116.0380088,255000,1 Albert Street,"07-2018"
4,4,1,2.0,466,131,1998.0,11200,1.5149216294528034,-31.88579,115.94778,325000,1 Aman Place,"11-2016"
5,4,2,1.0,759,118,1991.0,27300,1.227219194399204,-32.1538014,116.0236578,409000,1 Amethyst Crescent,"03-2013"
6,3,2,2.0,386,132,2014.0,28200,2.485730857063224,-32.17997786,115.9886473,400000,1 Ardara Lane,"05-2016"
7,4,2,2.0,468,158,2013.0,41700,0.4915731383363828,-32.31766224,115.7619682,370000,1 Arnside Bend,"03-2019"
8,4,2,3.0,875,168,1983.0,12100,1.2219275931111655,-31.84775987,115.8227005,565000,1 Arrochar Court,"06-2020"
9,3,2,8.0,552,126,1999.0,5900,0.936243264888652,-31.91788,115.90705,685000,1 Arundel Street,"10-2019"
10,4,2,6.0,2538,241,1977.0,22900,0.4964007594795787,-32.01574,116.08891,675000,1 Ash Road,"07-2014"
11,3,2,2.0,398,158,2003.0,36300,0.6808433268155856,-31.65428,115.7022,367500,1 Ashcott Gate,"11-2018"
12,3,2,2.0,243,94,2008.0,11500,0.1893503137159569,-31.84964681,115.846314,300000,1 Ashcroft Way,"12-2019"
13,4,2,4.0,704,247,2002.0,23100,2.2206426655498723,-32.15959,115.84948,535000,1 Ashendon Boulevard,"07-2019"
14,4,2,2.0,614,186,2004.0,13100,3.2343986089606025,-32.00294817,115.9836459,540000,1 Ashtree Boulevard,"05-2018"
15,3,2,3.0,706,196,1985.0,12500,1.1833626029374116,-32.06458,115.86046,685000,1 August Court,"11-2017"
16,4,2,2.0,663,154,1994.0,36700,14.013548390601851,-31.66068818,116.0407159,350000,1 Avonlea Place,"11-2017"
17,4,2,2.0,568,225,2003.0,15300,2.746772139797852,-31.95242,116.0207,570000,1 Babbler Court,"10-2020"
18,2,1,3.0,751,90,1959.0,18100,1.8592465386914536,-31.90409,116.04213,318000,1 Balga Place,"05-2013"
19,3,2,3.0,785,167,1977.0,25400,1.3641957547366643,-32.13247,116.0242,379000,1 Bamlett Street,"08-2017"
20,4,1,1.0,782,111,1981.0,23300,4.204627996200461,-32.14885,115.94308,387500,1 Banken Court,"04-2017"
21,4,2,2.0,450,173,2000.0,20700,0.7471080892276758,-32.13768,115.86697,465000,1 Barcroft Court,"08-2017"
22,3,1,1.0,421,93,1972.0,11800,1.930504981792736,-31.88355668,115.9542319,325000,1 Bates Loop,"08-2014"
23,3,2,2.0,388,160,2007.0,25000,3.141444909009006,-31.7328966,115.7996371,515000,1 Batoni Way,"09-2014"
24,3,1,1.0,550,121,1920.0,14600,0.5195732638053656,-31.88948,115.99427,610000,1 Bayley Street,"04-2013"
25,5,2,2.0,855,305,1981.0,10800,1.4288256583640708,-32.02366,115.78189,1950000,1 Beach Street,"10-2018"
26,4,2,2.0,600,295,2006.0,54500,2.1320305200513947,-32.434584,115.758448,420000,1 Beacon Way,"01-2015"
27,3,1,3.0,452,88,,13100,1.5178108452820758,-31.90698,115.98698,347500,1 Beenan Elbow,"08-2018"
28,4,2,2.0,459,250,2012.0,14100,3.374077197496846,-32.00415385,115.9949594,492000,1 Belfry Way,"11-2017"
29,3,1,2.0,711,99,1985.0,27500,0.6307358201923885,-32.164115,116.0083927,201000,1 Bell Court,"02-2019"
30,3,1,1.0,570,108,1996.0,15500,1.296626334289668,-32.03406,115.99137,275000,1 Bellata Place,"04-2018"
31,4,2,1.0,808,155,1983.0,16700,1.173982946797674,-32.08948,115.78811,410000,1 Bellier Place,"12-2019"
32,4,2,2.0,550,127,1999.0,46800,2.016747892191808,-32.36259,115.7517,315000,1 Belmont Close,"12-2020"
33,4,3,6.0,2095,254,,27300,6.04955388249433,-32.11535746,116.0748618,795000,1 Belvedere Rise,"10-2017"
34,4,2,4.0,2028,222,1988.0,24000,1.6349241820962144,-31.91039,116.10841,600000,1 Benowa Drive,"08-2015"
35,4,2,2.0,672,186,2002.0,50400,2.1973149440264903,-32.39686,115.75637,400000,1 Bianco Place,"09-2019"
36,3,1,2.0,797,177,1974.0,20900,3.788223562883484,-31.82521,116.02121,350000,1 Bignell Place,"08-2013"
37,4,2,2.0,480,170,1998.0,10800,1.5090079879697609,-31.86994,115.79768,835000,1 Bindoon Close,"06-2016"
38,4,2,2.0,469,152,2008.0,19000,1.784415085505154,-32.11598945,115.9173273,482000,1 Binnia Mews,"11-2020"
39,3,3,2.0,354,227,2000.0,12900,2.427821858858271,-32.02689,115.75382,1260000,1 Binns Court,"11-2016"
40,3,2,4.0,781,156,1989.0,34800,0.774913817309598,-31.66895,115.70455,405000,1 Bishops Close,"03-2019"
41,3,2,2.0,620,143,2002.0,14800,2.295611113645283,-31.95549,116.01601,465000,1 Bittern Close,"07-2019"
42,5,2,2.0,592,168,1996.0,19800,3.736130486068356,-32.11658806,115.7790863,560000,1 Blato Place,"12-2018"
43,3,1,2.0,979,122,1978.0,11300,1.1228906301327497,-32.0459,115.90519,380000,1 Bohemia Way,"05-2016"
44,3,2,2.0,397,130,2006.0,38000,1.6522015339628773,-31.638689,115.700206,360000,1 Boncath Road,"12-2020"
45,4,2,2.0,641,221,2005.0,26900,1.9590164130110144,-31.71607737,115.7997715,540000,1 Bonita Way,"03-2018"
46,3,2,2.0,680,163,1991.0,16200,1.735659975664515,-32.07705,115.94632,420000,1 Boronia Court,"06-2020"
47,4,2,2.0,495,171,2011.0,45500,2.668401882053026,-32.36170962,115.8136691,330000,1 Borough Road,"12-2020"
48,3,1,6.0,774,132,1952.0,4500,1.093286046042056,-31.98792,115.88137,705000,1 Bourke Street,"10-2017"
49,4,2,2.0,818,247,1994.0,10900,0.5464288811907199,-31.88124,115.93878,615000,1 Bowood Cove,"03-2016"
50,3,2,2.0,775,151,1960.0,15500,0.8307663583413691,-32.07693,115.78611,565000,1 Bradbury Road,"05-2020"
51,3,1,1.0,917,120,1959.0,3500,0.4013905888710384,-31.92056,115.86557,850000,1 Bradford Street,"10-2013"
52,4,2,2.0,447,305,2015.0,18600,1.4963495341523,-32.0993486,115.9525676,780000,1 Bradstocks Grove,"09-2018"
53,3,3,2.0,358,154,2001.0,17100,1.526177504053366,-32.10379,115.82631,520000,1 Bramley Way,"03-2018"
54,3,1,1.0,619,150,1945.0,8800,0.5714538835012237,-31.97685,115.76985,1100000,1 Brassey Street,"12-2016"
55,5,2,2.0,834,246,2004.0,26400,3.964054248621698,-31.75123,116.00693,590000,1 Brentwood Way,"03-2020"
56,4,2,3.0,561,101,1993.0,19400,2.207307702135043,-31.86829,116.03838,312000,1 Brilliant Rise,"08-2018"
57,3,2,3.0,372,213,2008.0,13400,1.2602271540900296,-31.86096794,115.7663678,900000,1 Briston Place,"08-2016"
58,3,1,,412,150,2015.0,26200,1.0032399435564363,-32.15937438,115.9880817,177000,1 Bristow Street,"08-2013"
59,4,2,2.0,541,188,2004.0,16000,1.257943569133381,-31.81185,115.8241,580000,1 Brittain Avenue,"07-2017"
60,4,2,2.0,544,246,2010.0,8700,0.9108820775888916,-31.91782603,115.7766387,1310000,1 Brix Street,"07-2019"
61,3,2,2.0,295,110,1950.0,8000,1.8221119153340877,-32.00510024,115.9157517,470000,1 Brixton Road,"02-2018"
62,3,2,2.0,578,176,1995.0,6400,0.5838539860074374,-32.00891,115.87138,717000,1 Bruning Road,"02-2018"
63,4,2,1.0,715,170,,13900,1.500365837809437,-31.83908,115.79647,650000,1 Buckie Court,"08-2014"
