index,Class 1/2/3,Alcohol,Malic acid,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Proanthocyanins,Color intensity,Hue,OD280/OD315 of diluted wines,Proline,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates
0,1,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56
1,1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68
2,1,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65
3,1,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58
4,1,13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56
5,1,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56
6,1,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46
7,1,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47
8,1,14.83,1.64,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57
9,1,13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8
10,1,14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54
11,1,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280,7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8
12,1,13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52
13,1,14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56
14,1,14.38,1.87,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88
15,1,13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93
16,1,14.3,1.92,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75
17,1,13.83,1.57,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28
18,1,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5
19,1,13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08
20,1,14.06,1.63,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780,8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53
21,1,12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65
22,1,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91
23,1,12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53
24,1,13.5,1.81,2.61,20.0,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63
25,1,13.05,2.05,3.22,25.0,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56
26,1,13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59
27,1,13.3,1.72,2.14,17.0,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91
28,1,13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55
29,1,14.02,1.68,2.21,16.0,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59
30,1,13.73,1.5,2.7,22.5,101,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285,6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54
31,1,13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57
32,1,13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66
33,1,13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52
34,1,13.51,1.8,2.65,19.0,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55
35,1,13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55
36,1,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6
37,1,13.05,1.65,2.55,18.0,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73
38,1,13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48
39,1,14.22,3.99,2.51,13.2,128,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83
40,1,13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83
41,1,13.41,3.84,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035,8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51
42,1,13.88,1.89,2.59,15.0,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9
43,1,13.24,3.98,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2
44,1,13.05,1.77,2.1,17.0,107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885,6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52
45,1,14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56
46,1,14.38,3.59,2.28,16.0,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73
47,1,13.9,1.68,2.12,16.0,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985,8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58
48,1,14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56
49,1,13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58
50,1,13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74
51,1,13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265,6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63
52,1,13.82,1.75,2.42,14.0,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64
53,1,13.77,1.9,2.68,17.1,115,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375,8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56
54,1,13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63
55,1,13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120,7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53
56,1,14.22,1.7,2.3,16.3,118,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970,10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63
57,1,13.29,1.97,2.68,16.8,102,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77
58,1,13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59
59,2,12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54
60,2,12.33,1.1,2.28,16.0,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64
61,2,12.64,1.36,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450,7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71
62,2,13.67,1.25,1.92,18.0,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630,7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62
63,2,12.37,1.13,2.16,19.0,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420,7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57
64,2,12.17,1.45,2.53,19.0,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39
65,2,12.37,1.21,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678,7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39
66,2,13.11,1.01,1.7,15.0,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502,7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58
67,2,12.37,1.17,1.92,19.6,78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510,6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58
68,2,13.34,0.94,2.36,17.0,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750,9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79
69,2,12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718,8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95
70,2,12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54
71,2,13.86,1.51,2.67,25.0,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48
72,2,13.49,1.66,2.24,24.0,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48
73,2,12.99,1.67,2.6,30.0,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985,8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53
74,2,11.96,1.09,2.3,21.0,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886,9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82
75,2,11.66,1.88,1.92,16.0,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66
76,2,13.03,0.9,1.71,16.0,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392,8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66
77,2,11.84,2.89,2.23,18.0,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55
78,2,12.33,0.99,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52
79,2,12.7,3.87,2.4,23.0,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12
80,2,12.0,0.92,2.0,19.0,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278,6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56
81,2,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28
82,2,12.08,1.13,2.51,24.0,78,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630,7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57
83,2,13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515,7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14
84,2,11.84,0.89,2.58,18.0,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78
85,2,12.67,0.98,2.24,18.0,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59
